Name,YearOpened,Annual Revenue,Store Trading Duration
Racing Bike Outlet,1998,300000.00,21
Utilitarian Sporting Goods,1999,300000.00,20
"Bike Goods ",1999,300000.00,20
Vigorous Exercise Company,1979,300000.00,40
Showcase for Cycles,1996,300000.00,23
Lease-a-Bike Shop,1991,300000.00,28
Functional Store South,1993,300000.00,26
Active Cycling,1998,300000.00,21
Stock Parts and Supplies,1990,300000.00,29
Roadway Supplies,1995,300000.00,24
Sensational Discount Store,1987,300000.00,32
Future Bikes,1992,300000.00,27
Super Sports Store,1999,300000.00,20
Satin Finish Company,1979,300000.00,40
Downtown Hotel,1986,300000.00,33
Certified Sports Supply,1978,300000.00,41
Registered Cycle Store,1983,300000.00,36
Rampart Amusement Company,1975,300000.00,44
Leather and Vinyl Manufacturing,1998,300000.00,21
Genial Bike Associates,1999,300000.00,20
Commercial Sporting Goods,1979,300000.00,40
Wholesale Parts,1996,300000.00,23
Steel Inc.,1991,300000.00,28
Riding Cycles,1993,300000.00,26
Futuristic Sport Distributors,1974,300000.00,45
Finer Sales and Service,1980,300000.00,39
Big-Time Bike Store,1986,300000.00,33
The Showroom,1992,300000.00,27
Spa and Exercise Outfitters,1998,300000.00,21
Year-Round Sports,1979,300000.00,40
Tubeless Tire Company,1980,300000.00,39
Tires and Tubes,1972,300000.00,47
Hardware Components,1977,300000.00,42
Retail Sporting Goods,1987,300000.00,32
Efficient Cycling,1974,300000.00,45
Family Entertainment Center,1980,300000.00,39
Go-cart and Bike Specialists,1972,300000.00,47
Trailblazing Sports,1977,300000.00,42
Racing Partners,1987,300000.00,32
Perfect Toys,1974,300000.00,45
Exhibition Showroom,1974,300000.00,45
Authorized Bike Sales and Rental,1980,300000.00,39
Two-Seater Bikes,1986,300000.00,33
More Bikes!,1992,300000.00,27
Unified Sports Company,1998,300000.00,21
National Manufacturing,1999,300000.00,20
Volume Bike Sellers,1999,300000.00,20
Wheelsets Storehouse,1979,300000.00,40
Nearby Sporting Goods,1998,300000.00,21
Front Sporting Goods,1999,300000.00,20
Elite Bikes,1999,300000.00,20
Catalog Store,1999,300000.00,20
Chic Department Stores,1999,300000.00,20
Eastside Department Store,1979,300000.00,40
Sports Sales and Rental,1996,300000.00,23
Cycle Merchants,1991,300000.00,28
Global Sports Outlet,1993,300000.00,26
Exotic Bikes,1998,300000.00,21
Fitness Hotel,1990,300000.00,29
Healthy Activity Store,1995,300000.00,24
Every Bike Shop,1987,300000.00,32
Grand Industries,1992,300000.00,27
Ideal Components,1984,300000.00,35
Larger Cycle Shop,1989,300000.00,30
Leading Sales & Repair,1981,300000.00,38
Main Bicycle Services,1986,300000.00,33
Metro Bike Mart,1978,300000.00,41
Rally Master Company Inc,1992,300000.00,27
Professional Cyclists,1998,300000.00,21
Sports Products Store,1999,300000.00,20
Exclusive Bicycle Mart,1999,300000.00,20
City Manufacturing,1979,300000.00,40
Fashionable Department Stores,1998,300000.00,21
Closeout Boutique,1999,300000.00,20
Bicycle Merchandise Warehouse,1999,300000.00,20
Spoke Manufacturers,1979,300000.00,40
Leather Seat Factory,1996,300000.00,23
Good Bicycle Store,1991,300000.00,28
Endurance Bikes,1993,300000.00,26
Major Cycling,1995,300000.00,24
Getaway Inn,1987,300000.00,32
Downhill Bicycle Specialists,1992,300000.00,27
Bike Experts,1984,300000.00,35
Extraordinary Bike Works,1989,300000.00,30
Valley Bicycle Distributors,1981,300000.00,38
Top Sports Supply,1986,300000.00,33
Racing Sales and Service,1978,300000.00,41
Metropolitan Bicycle Supply,1983,300000.00,36
Honest Repair Service,1975,300000.00,44
Designer Department Stores,1980,300000.00,39
Wheel Gallery,1972,300000.00,47
Top Bike Market,1987,300000.00,32
Region Bike Company,1992,300000.00,27
Grown-up Bike Store,1984,300000.00,35
Bicycle Lines Distributors,1989,300000.00,30
Sparkling Paint and Finishes,1981,300000.00,38
Racing Association,1986,300000.00,33
Plastic Parts Company,1978,300000.00,41
Gears and Parts Company,1983,300000.00,36
Executive Gift Store,1975,300000.00,44
Big Cycle Mall,1980,300000.00,39
Ultimate Bicycle Company,1974,300000.00,45
Sports Store,1980,300000.00,39
Metropolitan Equipment,1986,300000.00,33
Extended Tours,1992,300000.00,27
Convenient Sales and Service,1998,300000.00,21
Solid Bike Parts,1999,300000.00,20
Permanent Finish Products,1999,300000.00,20
Mercantile Outlet,1979,300000.00,40
Links Works,1974,150000.00,45
Exhilarating Cycles,1980,150000.00,39
Low Price Cycles,1996,150000.00,23
Metropolitan Manufacturing,1990,150000.00,29
Orange Bicycle Company,1984,150000.00,35
Riding Associates,1978,150000.00,41
Essential Bike Works,1972,150000.00,47
Rural Mountain Bike Mart,1988,150000.00,31
City Cycling,1976,150000.00,43
Engineered Bike Systems,1971,150000.00,48
Professional Containers and Packaging Co.,1997,150000.00,22
One Bike Company,1989,150000.00,30
Hiatus Bike Tours,1994,150000.00,25
Cycling Goods,1986,150000.00,33
Cycle Clearance,1991,150000.00,28
Black Bicycle Company,1983,150000.00,36
Transport Bikes,1988,150000.00,31
Sellers of Cycles,1980,150000.00,39
Maintenance and Repair for Bicycles,1985,150000.00,34
Fitness Department Stores,1977,150000.00,42
Famous Bike Shop,1982,150000.00,37
Eastward Bike Accessories,1974,150000.00,45
Strong Metal Manufacturing,1979,150000.00,40
Gift and Toy Store,1971,150000.00,48
Major Sporting Goods,1976,150000.00,43
Executive Discount Store,1988,150000.00,31
Recommended Bicycles,1996,150000.00,23
Sunny Place Bikes,1990,150000.00,29
Alpine Ski House,1984,150000.00,35
Cycles and Scooters,1978,150000.00,41
Small Bike Accessories Shop,1972,150000.00,47
List Price Catalog Company,1988,150000.00,31
Seats and Saddles Company,1976,150000.00,43
Village Tours,1971,150000.00,48
Tire Exchange,1998,150000.00,21
Racing Tours,1983,150000.00,36
Oils and Fluids Warehouse,1995,150000.00,24
Finished Parts Shop,1995,150000.00,24
Consumer Equipment,1992,150000.00,27
Bike Dealers Association,1974,150000.00,45
Pedal Systems Company,1980,150000.00,39
"Health Spa, Limited",1986,150000.00,33
Global Bike Retailers,1992,150000.00,27
Tandem Sales and Service,1972,150000.00,47
Sensible Sports,1978,150000.00,41
Reliable Retail Center,1984,150000.00,35
Liquidation Sales,1990,150000.00,29
Friendly Bike Shop,1996,150000.00,23
Town Industries,1974,150000.00,45
Security Racks and Locks Wholesalers,1980,150000.00,39
Rapid Bikes,1986,150000.00,33
Metro Sports Equipment,1992,150000.00,27
General Industries,1994,150000.00,25
Highway Bike Shop,1989,150000.00,30
Rental Bikes,1997,150000.00,22
Roving Sports,1992,150000.00,27
Express Bike Services,1995,150000.00,24
Major Amusement Company,1995,150000.00,24
Retail Discount Store,1983,150000.00,36
Vale Riding Supplies,1998,150000.00,21
Economy Center,1998,150000.00,21
Community Department Stores,1983,150000.00,36
Area Sheet Metal Supply,1995,150000.00,24
Synthetic Materials Manufacturing,1995,150000.00,24
Rural Sales and Service,1992,150000.00,27
Bikes for Kids and Adults,1996,150000.00,23
Consolidated Sales,1990,150000.00,29
The New Bike Store,1974,150000.00,45
Resident Cycle Shop,1980,150000.00,39
Primary Bike Distributors,1986,150000.00,33
Major Bicycle Store,1992,150000.00,27
Metro Manufacturing,1977,150000.00,42
Manufacturers Inc,1985,150000.00,34
Locks Company,1980,150000.00,39
Latest Accessories Sales,1988,150000.00,31
Incomparable Bicycle Store,1983,150000.00,36
Hometown Riding Supplies,1991,150000.00,28
Greater Bike Store,1986,150000.00,33
Games and Sport Supply Company,1994,150000.00,25
Distant Inn,1989,150000.00,30
Finer Mart,1997,150000.00,22
Economic Parts Supply,1992,150000.00,27
Precision Gears Inc.,1995,150000.00,24
Cross-Country Riding Supplies,1995,150000.00,24
Stylish Department Stores,1983,150000.00,36
Bike World,1998,150000.00,21
Number One Bike Co.,1982,150000.00,37
Racing Supply Distributors,1977,150000.00,42
Standard Bikes,1985,150000.00,34
The Bicycle Accessories Company,1980,150000.00,39
Active Systems,1988,150000.00,31
Regional Manufacturing,1974,150000.00,45
Original Bicycle Supply Company,1980,150000.00,39
First Center,1986,150000.00,33
Action Bicycle Specialists,1992,150000.00,27
Jumbo Bikes,1977,150000.00,42
Quick Delivery Service,1985,150000.00,34
Tough and Reliable Parts,1980,150000.00,39
Basic Sports Equipment,1988,150000.00,31
Cash & Carry Bikes,1983,150000.00,36
Convenient Bike Shop,1991,150000.00,28
Fitness Bike Accessories,1986,150000.00,33
General Bike Corporation,1994,150000.00,25
Quitting Business Distributors,1989,150000.00,30
Retail Cycle Shop,1997,150000.00,22
Social Activities Club,1992,150000.00,27
Blue Bicycle Company,1995,150000.00,24
Expert Cycle Store,1995,150000.00,24
General Riding Supplies,1983,150000.00,36
Parts Shop,1998,150000.00,21
Successful Sales Company,1997,150000.00,22
Inexpensive Parts Shop,1972,150000.00,47
Nuts and Bolts Mfg.,1988,150000.00,31
Principal Bicycle Supply,1976,150000.00,43
Thrilling Bike Tours,1971,150000.00,48
This Area Sporting Goods,1979,150000.00,40
Full-Service Bike Store,1974,150000.00,45
Plastic Products Manufacturers,1982,150000.00,37
Lubricant and Grease Suppliers,1996,150000.00,23
Superlative Bikes,1996,150000.00,23
Primary Cycle Shop,1977,150000.00,42
Sixth Bike Store,1985,150000.00,34
Touring Services,1980,150000.00,39
Vehicle Shop,1988,150000.00,31
First Department Stores,1983,150000.00,36
Grand Sport Boutique,1991,150000.00,28
Major Equipment Co,1986,150000.00,33
Custom Sales and Service,1994,150000.00,25
Elemental Sporting Goods,1989,150000.00,30
Distinctive Store,1997,150000.00,22
Grand Cycle Store,1992,150000.00,27
Fleet Bikes,1989,150000.00,30
Local Hardware Factory,1997,150000.00,22
Only Bikes and Accessories,1992,150000.00,27
Rental Gallery,1995,150000.00,24
South Bike Company,1995,150000.00,24
Wonderful Bikes Inc.,1983,150000.00,36
Another Sporting Goods Company,1998,150000.00,21
Rural Department Store,1990,150000.00,29
Sports Commodities,1984,150000.00,35
Riverside Company,1978,150000.00,41
Bicycle Exporters,1972,150000.00,47
Responsible Bike Dealers,1989,150000.00,30
Western Bike Supplies,1994,150000.00,25
Advanced Bike Components,1974,150000.00,45
Aerobic Exercise Company,1980,150000.00,39
Tandem Bicycle Store,1986,150000.00,33
Bikes and Motorbikes,1992,150000.00,27
Mechanical Sports Center,1995,150000.00,24
Speedometer Sales,1995,150000.00,24
Two-Wheeled Transit Company,1983,150000.00,36
Mountain Emporium,1998,150000.00,21
Alternative Vehicles,1983,150000.00,36
Channel Outlet,1991,150000.00,28
Full Sports Supply,1986,150000.00,33
Requisite Part Supply,1988,150000.00,31
Racks and Security Systems,1976,150000.00,43
Mechanical Products Ltd.,1971,150000.00,48
Commendable Bikes,1974,150000.00,45
Online Bike Sellers,1982,150000.00,37
Parcel Express Delivery Service,1979,150000.00,40
Outdoor Distributors,1974,150000.00,45
North Bike Company,1982,150000.00,37
Metal Processing Company,1986,150000.00,33
Widget Bicycle Specialists,1994,150000.00,25
World Bike Discount Store,1979,150000.00,40
Global Sporting Goods,1974,150000.00,45
Historic Bicycle Sales,1982,150000.00,37
Grease and Oil Products Company,1979,150000.00,40
Moderately-Priced Bikes Store,1974,150000.00,45
Toy Manufacturing Inc,1977,150000.00,42
Eighty Toy Stores,1985,150000.00,34
Economy Bikes Company,1980,150000.00,39
Third Bike Store,1988,150000.00,31
Pedaling Components,1988,150000.00,31
Workout Emporium,1976,150000.00,43
Exertion Activities Club,1984,150000.00,35
Impromptu Trips,1978,150000.00,41
Margie's Travel,1972,150000.00,47
Capital Riding Supplies,1986,150000.00,33
Bike Boutique,1992,150000.00,27
Traction Tire Company,1990,150000.00,29
Unsurpassed Bikes,1984,150000.00,35
Field Trip Inc,1978,150000.00,41
Tire Company,1983,150000.00,36
Uncompromising Quality Co,1991,150000.00,28
Activity Center,1971,150000.00,48
Brightwork Company,1979,150000.00,40
Purchase Mart,1992,150000.00,27
New Bikes Company,1974,150000.00,45
Vinyl and Plastic Goods Corporation,1980,150000.00,39
Top of the Line Bikes,1986,150000.00,33
Metallic Paint and Overcoat Co,1971,100000.00,48
First-Rate Outlet,2000,100000.00,19
Bikes Anyone?,1996,100000.00,23
Center Cycle Shop,2000,100000.00,19
Imported and Domestic Cycles,2000,100000.00,19
Fast Bike Works,1971,100000.00,48
Gasless Cycle Shop,2001,100000.00,18
Road-Way Mart,1998,100000.00,21
Small Cycle Store,1971,100000.00,48
Atypical Bike Company,2000,100000.00,19
Painters Bicycle Specialists,1998,100000.00,21
Client Discount Store,2000,100000.00,19
Bike Universe,1971,100000.00,48
Fifth Bike Store,2001,100000.00,18
Independent Outlet,1996,100000.00,23
Discount Bicycle Specialists,1971,100000.00,48
Famous Bike Sales and Service,2001,100000.00,18
First Supplies,1996,100000.00,23
Wholesale Bikes,1998,100000.00,21
Very Best Sports Supply,1971,100000.00,48
Urban Sports Emporium,2001,100000.00,18
Riding Excursions,1971,100000.00,48
Unique Bikes,2001,100000.00,18
Central Discount Store,1971,100000.00,48
Trusted Catalog Store,2001,100000.00,18
Bicycle Warehouse Inc.,1996,100000.00,23
Countryside Company,2000,100000.00,19
Superior Hardware Distributors,2000,100000.00,19
Purple Bicycle Company,2000,100000.00,19
A Great Bicycle Company,1971,100000.00,48
Certified Bicycle Supply,2001,100000.00,18
Exceptional Cycle Services,1996,100000.00,23
Next Door Cycles,2000,100000.00,19
Up-To-Date Sports,2000,100000.00,19
Yellow Bicycle Company,2001,100000.00,18
Sports Products Store,1971,100000.00,48
Selected Distributors,1998,100000.00,21
Official Parts Shop,1996,100000.00,23
"Contoso, Ltd.",2001,100000.00,18
Discount Tours,1971,100000.00,48
Friendly Neighborhood Bikes,1998,100000.00,21
Guaranteed Sales and Service,1971,100000.00,48
Preferable Bikes,2001,100000.00,18
Practical Bike Supply Company,2001,100000.00,18
Some Discount Store,1996,100000.00,23
All Cycle Shop,1998,100000.00,21
Tachometers and Accessories,1971,100000.00,48
Cycles Sales and Repair,2001,100000.00,18
Demand Distributors,2000,100000.00,19
Timely Shipping Service,2000,100000.00,19
Great Bicycle Supply,2000,100000.00,19
West Wind Distributors,2001,100000.00,18
World of Bikes,1997,80000.00,22
A Bicycle Association,1975,80000.00,44
Mail-Order Outlet,2000,80000.00,19
Nearby Cycle Shop,1994,80000.00,25
Recreation Toy Store,1988,80000.00,31
Exercise Center,1975,80000.00,44
Cycle Parts and Accessories,1985,80000.00,34
Fasteners & Bolts Outlet,1993,80000.00,26
Functional Store North,1988,80000.00,31
Quantity Discounts,1996,80000.00,23
Swift Cycles,1991,80000.00,28
Classic Cycle Store,1999,80000.00,20
"Helpful Sales and Repair Service ",1994,80000.00,25
Large Bike Shop,1987,80000.00,32
Recreation Supplies,1997,80000.00,22
Wire Baskets and Parts,1975,80000.00,44
A Cycle Shop,2000,80000.00,19
Bike Products and Accessories,1994,80000.00,25
Fitness Toys,1988,80000.00,31
Immediate Repair Shop,2000,80000.00,19
Off-Price Bike Center,1994,80000.00,25
Red Bicycle Company,1988,80000.00,31
Wingtip Toys,1999,80000.00,20
The Cycle Store,1994,80000.00,25
Educational Services,1987,80000.00,32
Active Life Toys,1997,80000.00,22
Simple Bike Parts,1975,80000.00,44
Travel Sports,1997,80000.00,22
West Side Mart,1975,80000.00,44
The Bike Outlet,2000,80000.00,19
Tenth Bike Store,1994,80000.00,25
Valuable Bike Parts Company,1988,80000.00,31
Fun Times Club,1982,80000.00,37
Chain and Chain Tool Distributions,1976,80000.00,43
Mobile Outlet,1970,80000.00,49
Budget Bike Company,1997,80000.00,22
Eighth Bike Store,1975,80000.00,44
Variety Cycling,1990,80000.00,29
Accessories Network,1984,80000.00,35
Remote Bicycle Specialists,1978,80000.00,41
Curbside Sporting Goods,1972,80000.00,47
Online Bike Warehouse,1997,80000.00,22
Retread Tire Company,1975,80000.00,44
Small Bike Shop,2000,80000.00,19
Sure & Reliable Sporting Goods,1997,80000.00,22
Eleventh Bike Store,1975,80000.00,44
Enterprise Center,2000,80000.00,19
Finish and Sealant Products,1997,80000.00,22
Finer Parts Shop,1975,80000.00,44
Glossy Bikes,2000,80000.00,19
Neighborhood Bicycle Storehouse,1985,80000.00,34
Gear-Shift Bikes Limited,1993,80000.00,26
Frugal Bike Shop,1988,80000.00,31
Impervious Paint Company,1972,80000.00,47
Shipping Specialists,1978,80000.00,41
Finer Sporting Goods,1984,80000.00,35
Authentic Sales and Service,1990,80000.00,29
Mountain Bike Center,1994,80000.00,25
Specialty Sports Store,1988,80000.00,31
Scooters and Bikes Store,1982,80000.00,37
Closest Bicycle Store,1976,80000.00,43
Roadway Bicycle Supply,1970,80000.00,49
"Fabrikam Inc., East",1993,80000.00,26
General Supplies,1988,80000.00,31
Noiseless Gear Company,1996,80000.00,23
Racing Toys,1991,80000.00,28
Commerce Bicycle Specialists,1985,80000.00,34
Township Inn,1993,80000.00,26
Acceptable Sales & Service,1988,80000.00,31
Brown Bicycle Company,1996,80000.00,23
District Mall,1991,80000.00,28
Fitness Supplies,1999,80000.00,20
Mail Market,1994,80000.00,25
Spare Parts Co.,1987,80000.00,32
Twelfth Bike Store,1997,80000.00,22
Instant Cycle Store,1990,80000.00,29
Leisure Activities,1984,80000.00,35
Paints and Solvents Company,1978,80000.00,41
New and Used Bicycles,1994,80000.00,25
Separate Parts Corporation,1988,80000.00,31
Basic Bike Company,1982,80000.00,37
"Fabrikam Inc., West",1976,80000.00,43
Mechanical Brake Manufacturers,1970,80000.00,49
Home Town Bike Store,1988,80000.00,31
Fitness Sport Boutique,1994,80000.00,25
Producer Goods Clearinghouse,1988,80000.00,31
Recreation Systems,1982,80000.00,37
Rustic Bike Store,1976,80000.00,43
Eastside Parts Shop,1970,80000.00,49
First Bike Store,2000,80000.00,19
Traditional Department Stores,1994,80000.00,25
Eastside Cycle Shop,1988,80000.00,31
Leisure Clearing House,1970,80000.00,49
Sharp Bikes,1990,80000.00,29
Exemplary Cycles,1984,80000.00,35
Metropolitan Sports Supply,1978,80000.00,41
Progressive Sports,1972,80000.00,47
Underglaze and Finish Company,1993,80000.00,26
Brakes and Gears,1988,80000.00,31
The Accessories Store,1996,80000.00,23
Mountain Bike Store,1991,80000.00,28
Bike Part Wholesalers,1999,80000.00,20
Family Cycle Store,1994,80000.00,25
Popular Bike Lines,1987,80000.00,32
Superb Sales and Repair,1997,80000.00,22
Better Bike Shop,1975,80000.00,44
Rural Cycle Emporium,1988,80000.00,31
Journey Sporting Goods,1996,80000.00,23
Two Bike Shops,1991,80000.00,28
Cycles Wholesaler & Mfg.,1999,80000.00,20
Wheels Inc.,1994,80000.00,25
Teen Discount Store,1994,80000.00,25
Transportation Options,1987,80000.00,32
Machines & Cycles Store,1990,80000.00,29
Pedals Warehouse,1984,80000.00,35
Two Wheels Cycle Store,1978,80000.00,41
Westside Cycle Store,1972,80000.00,47
Rural Sporting Goods,1985,80000.00,34
Corner Bicycle Supply,1993,80000.00,26
Distance Bikes,1988,80000.00,31
Casual Bicycle Store,1985,80000.00,34
Fitness Discount Store,1993,80000.00,26
General Cycle Storehouse,1988,80000.00,31
Fitness Cycling,1988,80000.00,31
Good Bike Shop,1982,80000.00,37
Imaginary Toys,1976,80000.00,43
Rambling Tours,1990,80000.00,29
Eastside Sporting Goods,2000,80000.00,19
Helmets and Cycles,1994,80000.00,25
Sheet Metal Manufacturing,1997,80000.00,22
Thorough Parts and Repair Services,1975,80000.00,44
Uttermost Bike Shop,2000,80000.00,19
Bikes for Two,1994,80000.00,25
Commuter Bicycle Store,1987,80000.00,32
Coalition Bike Company,1997,80000.00,22
Travel Systems,1975,80000.00,44
Initial Bike Company,1996,80000.00,23
Latest Sports Equipment,1991,80000.00,28
Modern Bike Store,1999,80000.00,20
Scratch-Resistant Finishes Company,1984,80000.00,35
Topnotch Bikes,1978,80000.00,41
"Unicycles, Bicycles, and Tricycles",1972,80000.00,47
Best o' Bikes,1972,80000.00,47
Work and Play Association,1976,80000.00,43
Seaside Bike Works,1970,80000.00,49
Remarkable Bike Store,1972,80000.00,47
Bulk Discount Store,2000,80000.00,19
Country Parts Shop,1994,80000.00,25
Second Bike Shop,2000,80000.00,19
Cross-town Parts Shop,1990,80000.00,29
Finer Cycle Shop,1984,80000.00,35
Juvenile Sports Equipment,1994,80000.00,25
Clamps & Brackets Co.,1985,80000.00,34
Family's Favorite Bike Shop,1997,80000.00,22
Global Plaza,1975,80000.00,44
Next-Door Bike Store,1996,80000.00,23
Professional Sales and Service,1991,80000.00,28
Riders Company,1999,80000.00,20
The Bike Mechanics,1994,80000.00,25
Nationwide Supply,1987,80000.00,32
Resale Services,1988,80000.00,31
The Gear Store,1982,80000.00,37
Leading Bike Distributors,1978,80000.00,41
Twin Cycles,1988,80000.00,31
Mountain Toy Store,2000,80000.00,19
Retail Sales and Service,1994,80000.00,25
Tiny Bike Boutique,1978,30000.00,41
Area Bike Accessories,1982,30000.00,37
Bicycle Accessories and Kits,1990,30000.00,29
Fun Toys and Bikes,1973,30000.00,46
"Great Bikes ",1981,30000.00,38
Metropolitan Sales and Rental,1976,30000.00,43
Irregulars Outlet,1984,30000.00,35
Valley Toy Store,1979,30000.00,40
Worthwhile Activity Store,1987,30000.00,32
Another Bicycle Company,1973,30000.00,46
Fourth Bike Store,1981,30000.00,38
Rodeway Bike Store,1976,30000.00,43
Kickstand Sellers,1981,30000.00,38
Nearest Bike Store,1976,30000.00,43
Nice Bikes,1975,30000.00,44
Blue-Ribbon Bike Company,1970,30000.00,49
Flawless Bike Shop,1978,30000.00,41
Grand Bicycle Stores,1973,30000.00,46
Courteous Bicycle Specialists,1982,30000.00,37
Hobby Store,1976,30000.00,43
Professional Cycle Store,1970,30000.00,49
Sundry Sporting Goods,1984,30000.00,35
Excellent Riding Supplies,1979,30000.00,40
Farthermost Bike Shop,1987,30000.00,32
Suburban Cycle Shop,1982,30000.00,37
Weekend Tours,1990,30000.00,29
Associated Bikes,1982,30000.00,37
Modular Cycle Systems,1976,30000.00,43
A Bike Store,1970,30000.00,49
Outdoor Toy Store,1975,30000.00,44
The Commissary,1970,30000.00,49
Affordable Sports Equipment,1978,30000.00,41
Local Sales and Rental,1973,30000.00,46
General Department Stores,1982,30000.00,37
Mass Market Bikes,1976,30000.00,43
Operational Manufacturing,1970,30000.00,49
Exchange Parts Inc.,1975,30000.00,44
First Cycle Store,1970,30000.00,49
Running and Cycling Gear,1978,30000.00,41
Seventh Bike Store,1973,30000.00,46
Fast Services,1981,30000.00,38
General Associates,1976,30000.00,43
Good Toys,1984,30000.00,35
Little Bicycle Supply Shop,1979,30000.00,40
Retail Toy Store,1987,30000.00,32
Strenuous Exercise Shop,1982,30000.00,37
All Seasons Sports Supply,1990,30000.00,29
Optimal Bikes,1982,30000.00,37
Sample Bike Store,1976,30000.00,43
Extras Sporting Goods,1970,30000.00,49
Non-Slip Pedal Company,1975,30000.00,44
Variety Bike Outlet,1970,30000.00,49
Weekend Bike Tours,1978,30000.00,41
Consolidated Messenger,1982,30000.00,37
Daring Rides,1976,30000.00,43
Field Trip Store,1970,30000.00,49
Capable Sales and Service,1981,30000.00,38
Little Sports Center,1976,30000.00,43
Pretty Bikes and Toys,1984,30000.00,35
Road Way Sales and Rental,1979,30000.00,40
Sturdy Toys,1987,30000.00,32
Beneficial Exercises and Activities,1982,30000.00,37
Fad Outlet,1990,30000.00,29
Refined Department Stores,1975,30000.00,44
Reasonable Bicycle Sales,1970,30000.00,49
Out-of-the-Way Hotels,1978,30000.00,41
Outdoor Sports Supply,1973,30000.00,46
Outdoor Aerobic Systems Company,1981,30000.00,38
Self-Contained Cycle Parts Company,1976,30000.00,43
Metal Clearing House,1984,30000.00,35
Many Bikes Store,1979,30000.00,40
Largest Bike Store,1987,30000.00,32
Kickstands and Accessories Company,1982,30000.00,37
Instruments and Parts Company,1990,30000.00,29
Regional Cycle Shop,1975,30000.00,44
