SquareFeet,NumberEmployees,Total Revenue
36000,40,300000.00
36000,34,450000.00
36000,30,450000.00
36000,38,600000.00
36000,37,600000.00
37000,39,150000.00
37000,36,150000.00
37000,30,150000.00
37000,44,150000.00
37000,45,150000.00
37000,46,300000.00
37000,41,300000.00
37000,47,300000.00
37000,33,300000.00
37000,35,300000.00
37000,37,450000.00
37000,32,450000.00
37000,34,450000.00
37000,42,450000.00
37000,43,600000.00
37000,31,600000.00
37000,40,750000.00
38000,39,150000.00
38000,36,150000.00
38000,32,150000.00
38000,33,150000.00
38000,42,150000.00
38000,41,150000.00
38000,45,150000.00
38000,47,150000.00
38000,49,300000.00
38000,34,300000.00
38000,37,300000.00
38000,31,300000.00
38000,48,450000.00
38000,43,450000.00
38000,44,450000.00
38000,46,900000.00
38000,40,900000.00
39000,37,150000.00
39000,32,150000.00
39000,30,150000.00
39000,45,150000.00
39000,48,150000.00
39000,44,150000.00
39000,41,150000.00
39000,42,150000.00
39000,43,300000.00
39000,38,300000.00
39000,39,300000.00
39000,35,450000.00
39000,34,450000.00
39000,36,450000.00
39000,31,450000.00
39000,47,450000.00
39000,40,600000.00
39000,46,750000.00
40000,45,150000.00
40000,48,150000.00
40000,41,150000.00
40000,36,150000.00
40000,40,450000.00
40000,37,450000.00
40000,43,900000.00
40000,46,900000.00
40000,49,1050000.00
41000,46,150000.00
41000,44,150000.00
41000,42,150000.00
41000,45,300000.00
41000,49,750000.00
41000,43,750000.00
42000,48,300000.00
68000,52,1200000.00
69000,55,300000.00
69000,58,900000.00
70000,64,300000.00
70000,61,600000.00
70000,55,1200000.00
71000,58,300000.00
71000,66,300000.00
71000,70,300000.00
71000,64,600000.00
71000,52,600000.00
71000,67,900000.00
72000,67,300000.00
72000,66,300000.00
72000,73,300000.00
72000,55,300000.00
72000,52,300000.00
72000,76,300000.00
72000,58,600000.00
72000,64,600000.00
72000,61,600000.00
73000,61,300000.00
73000,64,300000.00
73000,58,300000.00
73000,55,300000.00
73000,66,300000.00
73000,80,300000.00
73000,81,300000.00
73000,83,300000.00
73000,76,600000.00
73000,79,600000.00
73000,73,600000.00
73000,70,600000.00
73000,82,900000.00
74000,84,300000.00
74000,85,300000.00
74000,79,300000.00
74000,81,300000.00
74000,80,300000.00
74000,88,300000.00
74000,89,300000.00
74000,66,300000.00
74000,64,300000.00
74000,61,600000.00
74000,67,600000.00
74000,70,600000.00
74000,73,600000.00
74000,87,600000.00
74000,83,600000.00
75000,83,300000.00
75000,85,300000.00
75000,79,300000.00
75000,88,300000.00
75000,86,300000.00
75000,92,300000.00
75000,93,300000.00
75000,94,300000.00
75000,73,300000.00
75000,67,300000.00
75000,66,600000.00
75000,70,600000.00
75000,91,600000.00
75000,80,600000.00
75000,81,600000.00
75000,84,600000.00
75000,82,600000.00
75000,95,600000.00
75000,76,900000.00
75000,89,900000.00
76000,89,300000.00
76000,90,300000.00
76000,92,300000.00
76000,94,300000.00
76000,76,300000.00
76000,79,300000.00
76000,80,300000.00
76000,82,300000.00
76000,85,300000.00
76000,73,300000.00
76000,96,300000.00
76000,95,600000.00
76000,84,600000.00
76000,93,600000.00
76000,86,600000.00
76000,88,600000.00
77000,86,300000.00
77000,89,300000.00
77000,94,300000.00
77000,91,300000.00
77000,85,300000.00
77000,97,300000.00
77000,98,600000.00
77000,99,600000.00
77000,95,600000.00
77000,100,600000.00
77000,83,600000.00
77000,80,600000.00
77000,79,600000.00
77000,93,600000.00
77000,88,600000.00
77000,87,900000.00
77000,81,900000.00
78000,84,300000.00
78000,87,300000.00
78000,93,300000.00
78000,98,300000.00
78000,97,300000.00
78000,96,300000.00
78000,99,600000.00
78000,100,600000.00
78000,91,600000.00
78000,92,600000.00
78000,90,600000.00
78000,86,600000.00
78000,85,600000.00
78000,94,900000.00
79000,91,300000.00
79000,100,300000.00
79000,99,300000.00
79000,98,600000.00
79000,96,600000.00
79000,97,600000.00
79000,92,600000.00
79000,90,900000.00
80000,98,300000.00
80000,99,300000.00
80000,100,300000.00
80000,97,600000.00
80000,96,600000.00
